venue,bat_team,bowl_team,batsman,bowler
,,,SMSM Senanayake,A Zampa
,,,LJ Wright,BCJ Cutting
,,,X Thalaivan Sargunam,DL Chahar
,,,DJG Sammy,KS Williamson
,,,MG Johnson,Kuldeep Yadav
,,,A Mukund,TS Mills
,,,SV Samson,A Choudhary
,,,BMAJ Mendis,TM Head
,,,KL Rahul,BA Stokes
,,,CM Gautam,CR Woakes
,,,KW Richardson,T Natarajan
,,,Parvez Rasool,Rashid Khan
,,,GJ Maxwell,C de Grandhomme
,,,R Dhawan,Basil Thampi
,,,SA Yadav,AJ Tye
,,,CJ Anderson,AF Milne
,,,JJ Bumrah,K Rabada
,,,CA Lynn,Washington Sundar
,,,MA Starc,SN Thakur
,,,AR Patel,SS Agarwal
,,,Sandeep Sharma,NB Singh
,,,BR Dunk,Ankit Soni
,,,Shivam Sharma,Mohammad Nabi
,,,LMP Simmons,Mohammed Siraj
,,,VH Zol,LH Ferguson
,,,BCJ Cutting,
,,,Mohammed Shami,
,,,BE Hendricks,
,,,S Gopal,
,,,M de Lange,
,,,RR Rossouw,
,,,JO Holder,
,,,JDS Neesham,
,,,Imran Tahir,
,,,MM Sharma,
,,,DJ Hooda,
,,,CH Morris,
,,,SS Iyer,
,,,SA Abbott,
,,,AN Ahmed,
,,,YS Chahal,
,,,J Suchith,
,,,P Negi,
,,,RG More,
,,,Anureet Singh,
,,,HH Pandya,
,,,NM Coulter-Nile,
,,,PV Tambe,
,,,MJ McClenaghan,
,,,DJ Muthuswami,
,,,SN Thakur,
,,,SN Khan,
,,,D Wiese,
,,,S Aravind,
,,,JC Buttler,
,,,CR Brathwaite,
,,,MP Stoinis,
,,,C Munro,
,,,P Sahu,
,,,KH Pandya,
,,,TG Southee,
,,,MJ Guptill,
,,,KJ Abbott,
,,,TM Head,
,,,AD Nath,
,,,NS Naik,
,,,Ishan Kishan,
,,,SW Billings,
,,,RR Pant,
,,,KS Williamson,
,,,KC Cariappa,
,,,PSP Handscomb,
,,,Sachin Baby,
,,,J Yadav,
,,,UT Khawaja,
,,,HM Amla,
,,,BB Sran,
,,,N Rana,
,,,F Behardien,
,,,ER Dwivedi,
,,,JJ Roy,
,,,BA Stokes,
,,,Vishnu Vinod,
,,,TS Mills,
,,,Basil Thampi,
,,,CR Woakes,
,,,V Shankar,
,,,Rashid Khan,
,,,RA Tripathi,
,,,RD Chahar,
,,,LH Ferguson,
,,,C de Grandhomme,
,,,PJ Cummins,
,,,Mohammad Nabi,
,,,Kuldeep Yadav,
,,,Washington Sundar,
,,,S Badree,
,,,A Choudhary,
,,,AR Bawne,
,,,AJ Tye,
,,,Ankit Soni,
,,,K Rabada,
,,,AF Milne,
,,,SP Jackson,
,,,Swapnil Singh,
,,,R Tewatia,
,,,AS Rajpoot,
